"Entidade Executora";"UF";"ANO";"Valor Transferido";"Valor aquisições da agricultura familiar";"Percentual.x";"Código IBGE";"Valor transferido";"Valor aquisições agricultura familiar";"Percentual.y"
"PREF MUN DE AGUAS LINDAS DE GOIAS";"GO";2011;1741140;108008,2;0,0620330358271018;5200258;2089764;327962,16;0,156937414942549
"PREF MUN DE AGUAS MORNAS";"SC";2011;26640;6063,8;0,22762012012012;4200606;53360;54255,04;1,0167736131934
"PREF MUN DE AGUAS VERMELHAS";"MG";2011;65820;0;0;3101003;61506;0;0
"PREF MUN DE AGUDO";"RS";2011;111360;38045,39;0,341643229166667;4300109;139960;52197,2;0,372943698199486
"PREF MUN DE AGUDOS";"SP";2011;489240;0;0;3500709;486928;47160,75;0,0968536416061512
"PREF MUN DE AGUDOS DO SUL";"PR";2011;62400;19473,92;0,312082051282051;4100301;74820;19925,19;0,266308340016038
"PREF MUN DE AGUIA BRANCA";"ES";2011;98040;25663,2;0,261762545899633;3200136;131860;14494,5;0,109923403609889
"PREF MUN DE AGUIAR";"PB";2011;69540;0;0;2500205;84780;0;0
"PREF MUN DE AGUIARNOPOLIS";"TO";NA;NA;NA;NA;1700301;58768;570;0,00969915600326708
"PREF MUN DE AIMORES";"MG";2011;147900;2493,99;0,016862677484787;3101102;191596;0;0
"PREF MUN DE AIQUARA";"BA";2011;90660;0;0;2900603;83880;7146,04;0,0851936099189318
"PREF MUN DE AIUABA";"CE";2011;236760;0;0;2300408;311604;124600,27;0,399867363705216
"PREF MUN DE AIURUOCA";"MG";2011;44400;0;0;3101201;53340;19089,89;0,357890701162355
"PREF MUN DE AJURICABA";"RS";2011;87960;31938,39;0,363101296043656;4300208;102330;44960,03;0,439363138864458
"PREF MUN DE ALAGOA";"MG";2011;30240;0;0;3101300;26660;4436,6;0,166414103525881
"PREF MUN DE ALAGOA GRANDE";"PB";2011;422214;0;0;2500304;530102;85166,18;0,160659986191337
"PREF MUN DE ALAGOA NOVA";"PB";2011;217740;51910;0,238403600624598;2500403;335556;53081;0,15818820107523
"PREF MUN DE ALAGOINHA";"PB";2011;142020;26647,72;0,187633572736234;2500502;204696;38504;0,188103333724157
"PREF MUN DE ALAGOINHA";"PE";2011;193080;0;0;2600609;260602;2633,4;0,0101050644277481
"PREF MUN DE ALAGOINHA DO PIAUI";"PI";2011;86520;12336,8;0,142588996763754;2200251;128332;47757,59;0,372140931334351
"PREF MUN DE ALAGOINHAS";"BA";2011;1284600;388900;0,302740152576678;2900702;1235808;480394,32;0,388728928765633
"PREF MUN DE ALAMBARI";"SP";2011;82740;0;0;3500758;76320;0;0
"PREF MUN DE ALBERTINA";"MG";2011;37200;0;0;3101409;39860;0;0
"PREF MUN DE ALCANTARA";"MA";2011;435852;0;0;2100204;169904;226489,83;1,33304589650626
"PREF MUN DE ALCANTARAS";"CE";2011;176880;0;0;2300507;301388;27812,54;0,0922815108763454
"PREF MUN DE ALCANTIL";"PB";2011;63000;0;0;2500536;58992;11099,51;0,188152800379713
"PREF MUN DE ALCINOPOLIS";"MS";2011;NA;0;NA;5000252;59200;0;0
"PREF MUN DE ALCOBACA";"BA";2011;403200;42400;0,10515873015873;2900801;622170;123238,97;0,198079254866033
"PREF MUN DE ALDEIAS ALTAS";"MA";2011;630660;0;0;2100303;885264;0;0
"PREF MUN DE ALECRIM";"RS";2011;79860;31732,23;0,397348234410218;4300307;80100;26773,73;0,334253807740325
"PREF MUN DE ALEGRE";"ES";2011;177480;79757,24;0,449387198557584;3200201;405820;62977,72;0,155186338770884
"PREF MUN DE ALEGRETE";"RS";2011;434640;126276,96;0,290532302595251;4300406;837996;89287,29;0,106548587344092
"PREF MUN DE ALEGRETE DO PIAUI";"PI";2011;70560;0;0;2200277;111220;24798;0,222963495774141
"PREF MUN DE ALEGRIA";"RS";2011;24360;14741,65;0,605158045977012;4300455;43952;17753,76;0,403935202038588
"PREF MUN DE ALEM PARAIBA";"MG";2011;210180;0;0;3101508;257512;3220,94;0,0125079219609183
"PREF MUN DE ALENQUER";"PA";2011;1409940;0;0;1500404;1611532;93274,11;0,0578791547421956
"PREF MUN DE ALEXANDRIA";"RN";NA;NA;NA;NA;2400505;147960;0;0
"PREF MUN DE ALEXANIA";"GO";2011;216900;1779;0,00820193637621023;5200308;304216;47659,5;0,156663357614327
"PREF MUN DE ALFENAS";"MG";2011;555360;80887;0,145647868049553;3101607;850596;0;0
"PREF MUN DE ALFREDO CHAVES";"ES";2011;133500;48213,3;0,361148314606742;3200300;181940;59158,87;0,325155930526547
"PREF MUN DE ALFREDO MARCONDES";"SP";2011;45120;7009;0,155341312056738;3500808;49820;0;0
